from,to
CAT2,SHISAL2B
CAT2,CRIP3
CAT2,ACTL7B
CAT2,SLC39A12
CAT2,LRRC4C
CAT2,LINC00266-1
CAT2,ADGRL3
CAT2,POU4F1
CAT2,CHODL
CAT2,RSPH10B
CAT2,XAGE2
CAT2,MICU3
CAT2,CD1D
CAT2,KRT82
CAT2,TREML1
CAT2,BRINP3
CAT2,KCNT2
CAT2,SLC9C2
CAT2,KCNF1
CAT2,CCDC140
CAT2,PGLYRP4
CAT2,CRYGC
CAT2,C1orf189
CAT2,TRAT1
CAT2,ZMAT4
CAT2,MS4A8
CAT2,TEKT1
CAT2,OR13J1
CAT2,RNASE3
CAT2,ONECUT1
CAT2,TPD52L3
CAT2,FOXB1
CAT2,OR4C11
CAT2,ATOH1
CAT2,OR5B12
CAT2,CYP7B1
CAT2,IQCF1
CAT2,WFIKKN2
CAT2,TENT5D
CAT2,PRR18
CAT2,OR51G2
CAT2,FIBIN
CAT2,C14orf39
CAT2,HLA-DQB1
CAT2,RRH
CAT2,OR51A9P
CAT2,OR56B3P
CAT2,UNC5C
CAT2,MCEMP1
CAT2,FAM43B
CAT2,TDGF1P2
CAT2,TREML3P
CAT2,SIX6
CAT2,KRT6B
CAT2,NAP1L2
CAT2,SLC18A3
CAT2,PPP3R2
CAT2,NKAIN2
CAT2,C9orf152
CAT2,FOXR2
CAT2,KIAA0408
CAT2,OR6M1
CAT2,ADH7
CAT2,BMS1P9
CAT2,PABPC1P2
CAT2,CD3E
CAT2,MTND4LP30
CAT2,RNU6-502P
CAT2,RNU6-1309P
CAT2,RNU1-21P
CAT2,RNU6-640P
CAT2,RN7SKP113
CAT2,RNU6-335P
CAT2,RNU6-828P
CAT2,RNA5SP428
CAT2,RNU6-302P
CAT2,RNY3P13
CAT2,GJE1
CAT2,PRSS1
CAT2,LINC01446
CAT2,OR7E91P
CAT2,PRSS50
CAT2,RNU6-425P
CAT2,RNU6-1336P
CAT2,RNU6-979P
CAT2,RNU6-128P
CAT2,RNU6-784P
CAT2,RNU6-987P
CAT2,MIR128-1
CAT2,MIR627
CAT2,MIR645
CAT2,MIR591
CAT2,TRAV40
CAT2,IGHA1
CAT2,RPL22P22
CAT2,C10orf105
CAT2,MESTP4
CAT2,MAPK6P4
CAT2,ZNF705D
CAT2,LOC653513
CAT2,NBPF7
CAT2,RPL10P10
CAT2,RBMXP1
CAT2,SELENOKP2
CAT2,MIR1262
CAT2,MIR1305
CAT2,MIR548F4
CAT2,MIR548H1
CAT2,MIR548H4
CAT2,MIR548N
CAT2,RN7SKP117
CAT2,RNU6-757P
CAT2,RNU6-920P
CAT2,RNU6-172P
CAT2,RNU6-651P
CAT2,RN7SKP68
CAT2,RN7SKP140
CAT2,RN7SKP279
CAT2,MTND6P21
CAT2,RBM48P1
CAT2,RPS21P8
CAT2,BANF1P4
CAT2,CENPVL3
CAT2,CICP10
CAT2,LINC01823
CAT2,RPL36AP29
CAT2,RPS17P13
CAT2,PLCB1-IT1
CAT2,RPL7P45
CAT2,C5orf67
CAT2,MTND1P23
CAT2,LINC02519
CAT2,TERF1P5
CAT2,SETP15
CAT2,MTND1P14
CAT2,SPANXB1
CAT2,RNF19BPX
CAT2,SOX21-AS1
CAT2,RPL23AP12
CAT2,ANKRD26P4
CAT2,LINC01718
CAT2,LINC01079
CAT2,FTLP16
CAT2,SLC25A38P1
CAT2,LINC00400
CAT2,RPS12P24
CAT2,BEND7P1
CAT2,FAM41C
CAT2,RBBP8P1
CAT2,ERLNC1
CAT2,HAO2-IT1
CAT2,MIR4422HG
CAT2,HMGB1P7
CAT2,GNAI2P2
CAT2,FMO11P
CAT2,MTCYBP3
CAT2,RAD17P1
CAT2,NCKAP5-IT1
CAT2,LMLN-AS1
CAT2,PLCE1-AS2
CAT2,CNOT7P1
CAT2,RPL7P35
CAT2,LINC02579
CAT2,RPL35AP
CAT2,LINC00440
CAT2,HDAC1P1
CAT2,LINC01849
CAT2,TMEM30CP
CAT2,LINC01815
CAT2,NDUFB11P1
CAT2,LINC00298
CAT2,RPL7AP72
CAT2,MTCO1P46
CAT2,RFC3P1
CAT2,VEZF1P1
CAT2,CLEC2L
CAT2,SLFN14
CAT2,HMGB1P18
CAT2,HNRNPA1P73
CAT2,OVAAL
CAT2,LINC01563
CAT2,TMEM26-AS1
CAT2,NRBF2P3
CAT2,RPSAP15
CAT2,BTBD7P2
CAT2,HMGB3P5
CAT2,MLLT10P1
CAT2,RNU7-180P
CAT2,RNU7-48P
CAT2,RNU7-130P
CAT2,RNU7-169P
CAT2,RN7SL563P
CAT2,RN7SL782P
CAT2,OR2A15P
CAT2,RPL36AP21
CAT2,RPL17P20
CAT2,RPS23P6
CAT2,RPS26P45
CAT2,LINC02005
CAT2,RN7SL519P
CAT2,MTND4LP14
CAT2,GUCY2GP
CAT2,RN7SL250P
CAT2,RN7SL698P
CAT2,RN7SL869P
CAT2,RAD21L1
CAT2,MTCYBP40
CAT2,OR5M14P
CAT2,SEMA6A-AS2
CAT2,MTCO1P24
CAT2,LINC02147
CAT2,UQCRBP3
CAT2,NCOA4P2
CAT2,GBA3
CAT2,PANCR
CAT2,CLSTN2-AS1
CAT2,SMAD1-AS1
CAT2,MESTP3
CAT2,LINC01959
CAT2,LINC02483
CAT2,DDX18P4
CAT2,RNU4-29P
CAT2,RN7SKP248
CAT2,RNU6-1332P
CAT2,RNU6-1224P
CAT2,RNU6-1191P
CAT2,RNU6-453P
CAT2,RNU6-789P
CAT2,RGS21
CAT2,MTND1P36
CAT2,MIR3142HG
CAT2,NAV2-AS3
CAT2,UBTFL9
CAT2,TRIM53CP
CAT2,TUBB4BP4
CAT2,LINC02422
CAT2,KNOP1P1
CAT2,PSMC1P8
CAT2,HMGN2P6
CAT2,LINC02290
CAT2,SEC23A-AS1
CAT2,TRAV28
CAT2,LINC02349
CAT2,HNRNPA1P74
CAT2,LINC01225
CAT2,LINC01859
CAT2,SCML2P1
CAT2,MIR3689B
CAT2,MIR548AT
CAT2,MIR4441
CAT2,PIGPP4
CAT2,MIR4440
CAT2,RN7SL138P
CAT2,MIR4743
CAT2,MIR4676
CAT2,MIR5695
CAT2,LINC01929
CAT2,ZNF861P
CAT2,HMGN1P31
CAT2,EML2-AS1
CAT2,VN1R84P
CAT2,DDX55P1
CAT2,RNF138P2
CAT2,NAPGP1
CAT2,LINC02538
CAT2,OR7A19P
CAT2,OR8S21P
CAT2,MIR6870
CAT2,MIR6124
CAT2,DACH1
CAT2,GOLGA6L6
CAT2,MIR6817
CAT2,MIR7849
CAT2,FKBP1AP4
CAT2,C1orf232
CAT2,LMO3
CAT2,SLC6A13
CAT2,ZNF806
CAT2,SOX30
CAT2,GUCA2B
CAT2,CELF2
CAT2,PTGER3
CAT2,KCNH2
CAT2,SNAP91
CAT2,MS4A12
CAT2,SERTAD4
CAT2,MT3
CAT2,LHX5
CAT2,TBX5
CAT2,FMO2
CAT2,GGTLC2
CAT2,WFDC2
CAT2,AQP8
CAT2,TOX3
CAT2,GHRHR
CAT2,NOBOX
CAT2,PTGES3L-AARSD1
CAT2,UGT2B10
CAT2,IRX4
CAT2,HRH2
CAT2,KCNIP3
CAT2,NEU2
CAT2,NPHS2
CAT2,ADGRL2
CAT2,FMO6P
CAT2,HOXB1
CAT2,IFNA8
CAT2,TAS2R8
CAT2,RAMP3
CAT2,TWIST1
CAT2,TYRL
CAT2,SEMG2
CAT2,CRISP2
CAT2,NRN1
CAT2,SIGLEC9
CAT2,HBZ
CAT2,ULBP2
CAT2,DEFB118
CAT2,CLEC10A
CAT2,NMUR2
CAT2,RNF17
CAT2,EPHA7
CAT2,IL36RN
CAT2,IL1F10
CAT2,IGFBPL1
CAT2,NXPE4
CAT2,SULT6B1
CAT2,PLCZ1
CAT2,PPFIA2
CAT2,SLAIN1
CAT2,ST8SIA2
CAT2,MYOCD
CAT2,CBLC
CAT2,GPR32
CAT2,KLK3
CAT2,PTH2
CAT2,SLC17A4
CAT2,PRSS35
CAT2,ZAN
CAT2,CDHR1
CAT2,LRIT1
CAT2,VAX1
CAT2,ALLC
CAT2,ODF1
CAT2,ZIC3
CAT2,OR10J6P
CAT2,C1orf87
CAT2,TEKT4
CAT2,ZDHHC19
CAT2,MAGEC3
CAT2,TRIM53BP
CAT2,SPIC
CAT2,CCDC182
CAT2,OR5P1P
CAT2,TBC1D21
CAT2,SOST
CAT2,ZNF355P
CAT2,PARM1
CAT2,NR0B1
CAT2,VSTM2A
CAT2,CDH2
CAT2,LINC00208
CAT2,OR1N1
CAT2,OTP
CAT2,MAL
CAT2,INSL5
CAT2,OR9G4
CAT2,KRT2
CAT2,XKR3
CAT2,CST9
CAT2,SELP
CAT2,ZCCHC12
CAT2,FAM47DP
CAT2,OR9G1
CAT2,VN2R1P
CAT2,GPR149
CAT2,ZIC4
CAT2,DSG4
CAT2,ISX
CAT2,FOXN3P1
CAT2,OR4C3
CAT2,LY6H
CAT2,FMR1NB
CAT2,FAM187B
CAT2,SRRM3
CAT2,CDKN2AIPNLP1
CAT2,CCDC184
CAT2,HIST1H2BPS1
CAT2,IGSF22
CAT2,SLC17A8
CAT2,OR8G2P
CAT2,CTNNA3
CAT2,FAM9A
CAT2,SPDYE4
CAT2,OVCH2
CAT2,FBXL7
CAT2,FAM162B
CAT2,KCNQ3
CAT2,UMODL1-AS1
CAT2,UNC93B5
CAT2,RTN4RL1
CAT2,PRR30
CAT2,KRT26
CAT2,OR9Q2
CAT2,RGPD1
CAT2,PALM3
CAT2,ZSCAN23
CAT2,GOLGA6L3
CAT2,RNASE9
CAT2,ZNF322P1
CAT2,SLC15A5
CAT2,KIR2DL4
CAT2,PTPRT
CAT2,CPNE4
CAT2,OR4Q2
CAT2,TCEA1P1
CAT2,IL27
CAT2,OR2M2
CAT2,MIR375
CAT2,MIR380
CAT2,MIR339
CAT2,RNU4-15P
CAT2,RNU6-227P
CAT2,RNU6-552P
CAT2,RNU6-495P
CAT2,RNU6-888P
CAT2,RNA5SP443
CAT2,RNU6-774P
CAT2,RNU6-697P
CAT2,RNA5SP393
CAT2,RNU6-527P
CAT2,SNORD114-23
CAT2,RNU6-727P
CAT2,RNA5SP507
CAT2,RNU6-912P
CAT2,RNU6-379P
CAT2,RNU6-674P
CAT2,RNU1-32P
CAT2,RNU6-270P
CAT2,RNU6-188P
CAT2,RNU6-647P
CAT2,RNA5SP42
CAT2,RNU4-10P
CAT2,RN7SKP257
CAT2,RNU6-1082P
CAT2,SNORD114-15
CAT2,RNU1-133P
CAT2,RNU6-534P
CAT2,RNU1-43P
CAT2,RNA5SP363
CAT2,RNA5SP138
CAT2,RNY4P3
CAT2,RNU6-1276P
CAT2,RNU6-438P
CAT2,RN7SKP81
CAT2,RNA5SP151
CAT2,RNU6-650P
CAT2,LINC02487
CAT2,HIST2H3C
CAT2,PNLIPRP3
CAT2,LINC00587
CAT2,CTSLP6
CAT2,ACOXL-AS1
CAT2,DPRX
CAT2,OR51A2
CAT2,LINC02346
CAT2,PPIAP30
CAT2,RNU6-47P
CAT2,RNU6-25P
CAT2,RNU1-1
CAT2,RNU6-444P
CAT2,RNU6-259P
CAT2,RNU6-435P
CAT2,RNU1-138P
CAT2,RNU6-1310P
CAT2,RNU6-1013P
CAT2,SNORA20B
CAT2,RNU6-1145P
CAT2,RNU6-472P
CAT2,RNU6-242P
CAT2,RNU6-434P
CAT2,RNU6-16P
CAT2,RNU6-106P
CAT2,RNU6-769P
CAT2,RNU6-929P
CAT2,RNU6-1162P
CAT2,RNU6-843P
CAT2,RNU6-1195P
CAT2,SNORD3H
CAT2,RNU6-125P
CAT2,RNU6-831P
CAT2,RNU6-83P
CAT2,RNU6-1222P
CAT2,RNU6-310P
CAT2,MIR578
CAT2,MIR588
CAT2,MIR28
CAT2,MIR597
CAT2,MIR625
CAT2,MIR542
CAT2,MIR624
CAT2,MIR629
CAT2,MIR613
CAT2,MIR549A
CAT2,MIR185
CAT2,RNU6ATAC2P
CAT2,MIR196A1
CAT2,MIR758
CAT2,IGLV1-50
CAT2,IGLV1-47
CAT2,TARP
CAT2,TRGV1
CAT2,TRAV12-1
CAT2,RNU6-316P
CAT2,RNU6-1177P
CAT2,SNORD115-45
CAT2,RNU6-644P
CAT2,RNU6-1093P
CAT2,RNU6-466P
CAT2,RNU1-56P
CAT2,RPL23AP62
CAT2,HMGB3P11
CAT2,HNRNPA1P64
CAT2,NIFKP1
CAT2,RBBP4P4
CAT2,KRT8P6
CAT2,IFITM8P
CAT2,KRT18P12
CAT2,MIR941-4
CAT2,RPL37P15
CAT2,DUTP5
CAT2,HMGA1P7
CAT2,MTCYBP36
CAT2,RPL22P12
CAT2,HSPD1P16
CAT2,CACYBPP3
CAT2,ZNF299P
CAT2,ATF1P1
CAT2,MBL3P
CAT2,OSTCP6
CAT2,VN1R12P
CAT2,MIR1302-6
CAT2,MIR1238
CAT2,MIR1249
CAT3,HMGB1P25
CAT3,CEACAMP1
CAT3,RPS29P29
CAT3,GNG10P1
CAT3,LINC01675
CAT3,LINC01781
CAT3,RPL5P7
CAT3,H2AFZP5
CAT3,WASH4P
CAT3,TMEM30CP
CAT3,MTND4LP13
CAT3,OR52T1P
CAT3,LINC01728
CAT3,LINC01436
CAT3,RPS26P40
CAT3,PTMAP4
CAT3,IGBP1P3
CAT3,RPS6KA2-AS1
CAT3,MTCO3P2
CAT3,LMLN-AS1
CAT3,MTND6P24
CAT3,BPIFB5P
CAT3,NPIPB7
CAT3,COTL1P2
CAT3,MTCO2P11
CAT3,P4HA2-AS1
CAT3,MLLT10P1
CAT3,LINC02096
CAT3,OR7E7P
CAT3,MYO5BP2
CAT3,RNU7-63P
CAT3,RNU7-38P
CAT3,RNU7-97P
CAT3,RPS26P49
CAT3,RPSAP38
CAT3,SOCS2P1
CAT3,HLA-DQA2
CAT3,PNMA6A
CAT3,VEZF1P1
CAT3,MTATP6P26
CAT3,MICG
CAT3,NANOGP4
CAT3,PIEZO1P2
CAT3,PPEF1-AS1
CAT3,FTCD-AS1
CAT3,OR4A47
CAT3,NRBF2P3
CAT3,RN7SL864P
CAT3,SRGAP2-AS1
CAT3,LOC653513
CAT3,MIR1827
CAT3,OR2A2
CAT3,RNU4-62P
CAT3,RNU6-757P
CAT3,RNU2-36P
CAT3,RNA5SP44
CAT3,RNU2-16P
CAT3,RNU2-62P
CAT3,RNU6-293P
CAT3,RNU4-63P
CAT3,MIR1238
CAT3,MIR1237
CAT3,MIR190B
CAT3,MIR938
CAT3,MIR941-4
CAT3,RPL22P12
CAT3,LINC01644
CAT3,SLC25A20P1
CAT3,SELENOKP2
CAT3,OSTCP6
CAT3,VIM2P
CAT3,MIR1231
CAT3,HBD
CAT3,AK4P4
CAT3,HCG4P5
CAT3,AKR1D1P1
CAT3,LINC01402
CAT3,MTATP6P19
CAT3,UBTFL6
CAT3,LINC00200
CAT3,HBBP1
CAT3,TRBV5-4
CAT3,LINC01790
CAT3,ELOVL2-AS1
CAT3,SRP68P2
CAT3,CEACAMP7
CAT3,ZDHHC20P2
CAT3,CICP10
CAT3,LINC00572
CAT3,OR11M1P
CAT3,NDUFA5P10
CAT3,FCF1P6
CAT3,PCMTD1P1
CAT3,UBE2V1P5
CAT3,BCAS2P3
CAT3,VDAC1P12
CAT3,ACTG1P23
CAT3,C21orf91-OT1
CAT3,MMP2-AS1
CAT3,MIR5588
CAT3,MIR4504
CAT3,MIR4441
CAT3,MIR4655
CAT3,MIR3202-1
CAT3,MIR4797
CAT3,RN7SL96P
CAT3,MIR3149
CAT3,MIR5695
CAT3,AKR1B1P7
CAT3,MIR3162
CAT3,MIR5008
CAT3,LINC01225
CAT3,BGLT3
CAT3,HNRNPA3P11
CAT3,GOLGA8T
CAT3,LINC02191
CAT3,FAM187B2P
CAT3,MAPK8IP1P1
CAT3,MIR4753
CAT3,MIR3134
CAT3,SDHCP1
CAT3,ZNF833P
CAT3,LINC01835
CAT3,MIR6124
CAT3,MIR548O2
CAT3,GRIFIN
CAT3,MIR5739
CAT3,MIR6509
CAT3,LINC02255
CAT3,MIR8070
CAT3,OR1B1
CAT3,MIR1322
CAT3,SNORD98
CAT3,MIR6868
CAT3,SPDYE19P
CAT3,SLC6A21P
CAT3,CTAGE15
CAT3,BNIP3P4
CAT3,RNU7-10P
CAT3,LINC01115
CAT3,RNU4-89P
CAT3,OR13Z2P
CAT3,OR7M1P
CAT3,MIR4727
CAT3,MIR6889
CAT3,MIR936
CAT3,MTND5P32
CAT3,RPL36AP21
CAT3,SNRPCP8
CAT3,MTCYBP43
CAT3,PABPC1P7
CAT3,PRELID3BP7
CAT3,SMAD1-AS1
CAT3,RFPL4B
CAT3,RNU7-20P
CAT3,RNU4-29P
CAT3,RNA5SP217
CAT3,RNU7-12P
CAT3,ARHGAP22-IT1
CAT3,HMGN1P9
CAT3,AGGF1P3
CAT3,RPS26P45
CAT3,SRRM1P2
CAT3,RPL6P8
CAT3,RPS3AP34
CAT3,RTL5
CAT3,PPAN-P2RY11
CAT3,LINC02000
CAT3,THAP12P2
CAT3,SLC9A9-AS2
CAT3,RNU6-615P
CAT3,RNU7-200P
CAT3,NAV2-AS3
CAT3,OR4A11P
CAT3,KRTAP5-9
CAT3,DUXAP5
CAT3,NPIPB8
CAT3,RPA2P3
CAT3,LINC02446
CAT3,RPL41P5
CAT3,NANOGNBP2
CAT3,ZNF878
CAT3,SUMO2P18
CAT3,RNU6-731P
CAT3,RNU6-904P
CAT3,RNU7-40P
CAT3,RNU6-589P
CAT3,RN7SKP244
CAT3,RNA5SP33
CAT3,RNU7-151P
CAT3,RN7SKP272
CAT3,RNU6-430P
CAT3,RNU6-789P
CAT3,RNU6-1057P
CAT3,LINC02290
CAT3,HMGB1P23
CAT3,MIR4531
CAT3,TMEM176A
CAT3,CELF2
CAT3,MYH7
CAT3,TPSD1
CAT3,ISM2
CAT3,PAGE4
CAT3,CORO2B
CAT3,CEACAM4
CAT3,PIP5K1B
CAT3,MRPL57P3
CAT3,RN7SL313P
CAT3,HIGD1AP18
CAT3,LINC02365
CAT3,DYNLL1P4
CAT3,METTL7AP1
CAT3,MIA
CAT3,MIR4286
CAT3,MIR4733
CAT3,MIR3617
CAT3,MIR4440
CAT3,DUXAP4
CAT3,POMC
CAT3,ADGRL2
CAT3,GRP
CAT3,ADGRB3
CAT3,TET1
CAT3,ST8SIA2
CAT3,DPT
CAT3,FAM163A
CAT3,TAGLN3
CAT3,SHISAL2B
CAT3,C11orf52
CAT3,FCGR1A
CAT3,LYVE1
CAT3,RAB25
CAT3,TAS2R8
CAT3,GJA3
CAT3,GHSR
CAT3,PLP1
CAT3,ACVR1C
CAT3,SEMG2
CAT3,MYH2
CAT3,SMO
CAT3,SIGLEC9
CAT3,EPO
CAT3,POU4F1
CAT3,FCF1P8
CAT3,ABRA
CAT3,FAM86GP
CAT3,CDYLP1
CAT3,LINC01276
CAT3,CARM1P1
CAT3,MTND3P22
CAT3,MIR6512
CAT3,DKK4
CAT3,FOLR3
CAT3,REG1A
CAT3,HOXC12
CAT3,ZAN
CAT3,YTHDF2P1
CAT3,FOXD4L1
CAT3,CCDC179
CAT3,PCSK2
CAT3,HNRNPCL1
CAT3,PLCXD3
CAT3,CD247
CAT3,MACROD2-IT1
CAT3,RPL35AP35
CAT3,MIR5194
CAT3,RPS27AP19
CAT3,SIRPD
CAT3,KCNJ1
CAT3,RNU6-302P
CAT3,GOLGA6B
CAT3,TAF13P2
CAT3,MTND6P32
CAT3,LYPLA2P1
CAT3,CEACAMP2
CAT3,RPEP3
CAT3,RAD17P1
CAT3,IFNWP2
CAT3,RNU7-180P
CAT3,ATP11AUN
CAT3,ADRB3
CAT3,CYP11B1
CAT3,UBXN10
CAT3,TEKT4
CAT3,BPIFB6
CAT3,HES3
CAT3,REP15
CAT3,SRRM3
CAT3,TMEM31
CAT3,OR4A21P
CAT3,FAM133CP
CAT3,RNU7-48P
CAT3,PANX3
CAT3,RNU6-859P
CAT3,RNU6-1051P
CAT3,RNA5SP277
CAT3,RNY3P13
CAT3,PRR9
CAT3,TMEM235
CAT3,AIF1
CAT3,ACOXL-AS1
CAT3,CD177P1
CAT3,KRT17P7
CAT3,OR7E36P
CAT3,RNY4P3
CAT3,RNU6-580P
CAT3,RNU6-836P
CAT3,RNU6-428P
CAT3,RNU6-23P
CAT3,RNU6-833P
CAT3,RNU6-598P
CAT3,RNU6-188P
CAT3,RNU6-335P
CAT3,RNA5SP478
CAT3,RNA5SP479
CAT3,RNU4-9P
CAT3,TRBV20OR9-2
CAT3,OR7E91P
CAT3,MIR320E
CAT3,RNU6-129P
CAT3,RNU6-823P
CAT3,RNU6-1246P
CAT3,RNU6-131P
CAT3,RNA5SP212
CAT3,RNA5SP474
CAT3,RNU6-903P
CAT3,SDC4P
CAT3,SDHCP2
CAT3,MIR624
CAT3,MIR200B
CAT3,RNU6-425P
CAT3,RNU6-657P
CAT3,RNU6-444P
CAT3,RNU6-481P
CAT3,RNU6-891P
CAT3,RNU6-106P
CAT3,RNU6-1162P
CAT3,RNU6-310P
CAT3,RNU6-291P
CAT3,MIR128-1
CAT3,C10orf105
CAT3,MIR345
CAT3,CHODL
CAT3,TEKT1
CAT3,GFRA2
CAT3,OR13J1
CAT3,CT55
CAT3,SIGLEC17P
CAT3,ECEL1
CAT3,OR10H2
CAT3,OR52P2P
CAT3,CD164L2
CAT3,ZIC4
CAT3,NOS2P2
CAT3,TBC1D21
CAT3,IGKV1OR-2
CAT3,TREML1
CAT3,TDRD5
CAT3,C1orf189
CAT3,TAGAP
CAT3,GBX1
CAT3,AKR1E2
CAT3,IL25
CAT3,CRABP1
CAT3,SUN5
CAT3,ANKRD30BP1
CAT3,BMS1P9
CAT3,PALM3
CAT3,POTEE
CAT3,NKAIN2
CAT3,PCDH18
CAT3,KIAA0408
CAT3,PTPRT
CAT3,PFN3
CAT3,PRB3
CAT3,SLC22A12
CAT3,PEG3
CAT3,TMEM72
CAT3,RGPD1
CAT3,EIF4E1B
CAT3,OR6B3
CAT3,RIIAD1
CAT3,C17orf47
CAT3,OR52H1
CAT3,RGPD6
CAT3,CTNNA3
CAT3,OVCH2
CAT3,IQCF2
CAT3,PRSS38
CAT3,DLEU7
CAT3,ARHGEF3-AS1
CAT3,GSTT4
CAT3,UBE2E1-AS1
CAT3,SLC44A5
CAT3,KIF26B
CAT3,LINC00997
CAT3,RN7SL330P
CAT3,RNU5E-10P
CAT3,LMO3
CAT3,DUTP7
CAT3,MIR148B
CAT3,GPR52
CAT3,SDHDP6
CAT3,RPS12P5
CAT3,DIRC3
CAT3,PSMC1P9
CAT3,ADRA1D
CAT3,DRC7
CAT3,SAXO1
CAT3,FXYD2
CAT3,ITGB6
CAT3,EFNB3
CAT3,MLC1
CAT3,TBATA
CAT3,PPIAL4G
CAT3,RN7SL346P
CAT3,SOD2
CAT3,TMPRSS11B
CAT3,MIR3662
CAT3,RN7SL390P
CAT3,SIGLEC8
CAT3,MIR5689HG
CAT3,TRIM9
CAT3,ATG12P2
CAT3,HMGN1P15
CAT3,HNRNPA1P5
CAT3,EXOSC3P1
CAT3,COLEC10
CAT3,CREB5
CAT3,LINC00426
CAT3,HOTTIP
CAT3,LINC00649
CAT3,LINC00322
CAT3,MIR3945HG
CAT3,STX3
CAT4,TIGIT
CAT4,B3GALNT1P1
CAT4,RPL35AP
CAT4,RPEP3
CAT4,SCGB1D2
CAT4,DIRC3
CAT4,DPPA2P3
CAT4,SDHDP6
CAT4,RNU1-51P
CAT4,MIR148B
CAT4,COLEC10
CAT4,ITGB6
CAT4,SHISAL2B
CAT4,TUBB3P1
CAT4,RPL6P7
CAT5,ORM1
CAT5,PCED1CP
CAT5,EIF1P3
CAT5,MARK2P14
CAT5,GOT2P1
CAT5,NDFIP2-AS1
CAT5,TMEM114
CAT5,LINC01851
CAT5,CLYBL-AS1
CAT5,HMGB1P7
CAT5,BMS1P19
CAT5,MIR4422HG
CAT5,HMGB1P45
CAT5,NUTF2P7
CAT5,RPS21P1
CAT5,PAICSP5
CAT5,SIAH1P1
CAT5,LINC02525
CAT5,ACTG1P23
CAT5,PRB4
CAT5,WASH4P
CAT5,TMEM30CP
CAT5,RPS26P55
CAT5,RPS27P26
CAT5,KIR3DL2
CAT5,PLGLA
CAT5,AGGF1P3
CAT5,RPS26P45
CAT5,MTND4P16
CAT5,RPL21P54
CAT5,RNU7-38P
CAT5,RNU7-180P
CAT5,SLC25A24P2
CAT5,GUSBP5
CAT5,PPEF1-AS1
CAT5,FTCD-AS1
CAT5,OXCT2P1
CAT5,P4HA2-AS1
CAT5,ARMC4P1
CAT5,OOSP1P1
CAT5,MTND1P30
CAT5,RN7SL152P
CAT5,RNU6-939P
CAT5,HMGN2P39
CAT5,MAPK6P4
CAT5,BCRP4
CAT5,NBPF7
CAT5,FAM138C
CAT5,MIR1262
CAT5,RNU6-757P
CAT5,RNA5SP44
CAT5,ELK2AP
CAT5,RNU6-1254P
CAT5,RNA5SP474
CAT5,RNU6-331P
CAT5,RNU6-376P
CAT5,MIR583
CAT5,MIR556
CAT5,MIR624
CAT5,MIR320E
CAT5,TRAV38-1
CAT5,RNA5SP210
CAT5,RNU6-651P
CAT5,RN7SKP126
CAT5,RPLP0P1
CAT5,IPMKP1
CAT5,RPL35AP30
CAT5,HORMAD2-AS1
CAT5,MTND3P9
CAT5,MTCO3P43
CAT5,OR7E23P
CAT5,UGT1A2P
CAT5,PSMC1P12
CAT5,DDC-AS1
CAT5,MTND1P23
CAT5,MTND6P21
CAT5,LINC01874
CAT5,MTCO1P39
CAT5,MTCYBP21
CAT5,NDUFA5P10
CAT5,CCRL1P1
CAT5,TAF13P2
CAT5,NRG3-AS1
CAT5,TRBV23OR9-2
CAT5,GUCY2GP
CAT5,ARL2BPP2
CAT5,MIA
CAT5,FAM187B2P
CAT5,MIR5189
CAT5,MIR4277
CAT5,MIR3928
CAT5,MIR4786
CAT5,MIR3613
CAT5,MIR3181
CAT5,DNM1P31
CAT5,PYCARD-AS1
CAT5,CD24P2
CAT5,ZFP64P1
CAT5,NANOGP7
CAT5,HIGD1AP17
CAT5,EIF4BP1
CAT5,LINC02332
CAT5,BGLT3
CAT5,LINC00557
CAT5,LINC00555
CAT5,MIR4765
CAT5,MIR4472-1
CAT5,SNORD114-21
CAT5,OR2A13P
CAT5,MIR6749
CAT5,MIR6868
CAT5,MIR8053
CAT5,LINC02255
CAT5,MIR548A1HG
CAT5,MIR6830
CAT5,LINC00551
CAT5,GMCL1P2
CAT5,HSPE1P7
CAT5,MIR3909
CAT5,MIR3196
CAT5,MIR4530
CAT5,MIR5695
CAT5,OR4G1P
CAT5,LINC01835
CAT5,SCGB1C2
CAT5,SIGLEC20P
CAT5,MIR302B
CAT5,RPS3AP40
CAT5,LINC01950
CAT5,RFPL4B
CAT5,ALG3P1
CAT5,RNA5SP445
CAT5,RNU7-20P
CAT5,RNU4ATAC11P
CAT5,RNU6-313P
CAT5,RNU6-1045P
CAT5,UNC93B4
CAT5,LINC02510
CAT5,PANCR
CAT5,RN7SL251P
CAT5,LINC02226
CAT5,LINC02325
CAT5,SLIT2-IT1
CAT5,CCNL2P1
CAT5,HMGN1P9
CAT5,LINC01438
CAT5,UQCRBP3
CAT5,RNU6-589P
CAT5,RNA5SP153
CAT5,ENPP7P12
CAT5,NAV2-AS3
CAT5,MTND2P26
CAT5,C1DP5
CAT5,LINC02446
CAT5,MTRF1LP1
CAT5,LINC02368
CAT5,FAM205BP
CAT5,MYL12AP1
CAT5,LINC02365
CAT5,HMGB1P23
CAT5,RN7SKP244
CAT5,RNU6-786P
CAT5,RNU7-151P
CAT5,RNU6-577P
CAT5,RN7SKP272
CAT5,RNU6-299P
CAT5,LINC00599
CAT5,MIOXP1
CAT5,LINC02407
