from,to
LINC00511,MIR524
SNHG17,MIR23B
TP53TG1,MIR524
NEAT1,Mir214
LBX2-AS1,MIR491
MSC‑AS1,MIR373
LINC00210,MIR328
AK039862,FOXA1
AK039862,Pafah1b1
SNHG7,Mir9-2
NEAT1,miR-124
HOXA11-AS,miR-124
HCP5,MIR128-1
AC007128.1,HSP90AB1
AC007128.1,TSHR
AC007128.1,LRFN5
AC007128.1,MIR5008
AC007128.1,RN7SL336P
AC007128.1,MGC15885
AC007128.1,SRL
AC007128.1,MTCYBP3
AC007128.1,SNORD92
AC007128.1,FAM245A
AC007128.1,RNA5SP379
AC007128.1,MYL12B
AC007128.1,SLC1A4
AC007128.1,TAT
AC007128.1,TRIM44
AC007128.1,CDCA8
AC007128.1,GCLC
AC007128.1,PGAM1
AC007128.1,UBA1
AC007128.1,ACTL11P
AC007128.1,DNAJA1
AC007128.1,HSPA5
AC007128.1,RALBP1
AC007128.1,TMEM14A
AC007128.1,GDF15
AC007128.1,HSPA8
AC007128.1,MYCL
AC007128.1,AFAP1
AC007128.1,UAP1
AC007128.1,SARS1
AC007128.1,TLE4
AC007128.1,ABCA2
AC007128.1,DKK1
AC007128.1,FAM25G
AC007128.1,IL1B
AC007128.1,SSC5D
AC007128.1,PDE2A
AC007128.1,PSMC3IP
AC007128.1,LCN2
AC007128.1,MSN
AC007128.1,GAS5
AC007128.1,DDOST
AC007128.1,TXNRD1
AC007128.1,VCP
AC007128.1,ZFP36L1
AC007128.1,DDX19B
AC007128.1,GID8
AC007128.1,ASNS
AC007128.1,OR2L1P
AC007128.1,SPTBN1
AC007128.1,DLC1
AC007128.1,NKIRAS2
AC007128.1,SERPINE1
AC007128.1,C15orf61
AC007128.1,ERN1
AC007128.1,RNF141
AC007128.1,MOCOS
AC007128.1,NDUFA4
AC007128.1,ATP6
AC007128.1,LAMC1
AC007128.1,MAGEF1
AC007128.1,PLGRKT
AC007128.1,SHD
AC007128.1,WBP11
AC007128.1,CYP51A1
AC007128.1,MIR3936
AC007128.1,RNA5SP334
AC007128.1,MIR4742
AC007128.1,MIR196B
AC007128.1,MIR4793
AC007128.1,HOXA1
AC007128.1,ZFYVE21
AC007128.1,CDC42EP3
AC007128.1,UPP1
AC007128.1,CTNNB1
AC007128.1,CDCP1
AC007128.1,RACK1
AC007128.1,PSMD13
AC007128.1,IL6
AC007128.1,CDK2AP2
AC007128.1,SH3RF2
AC007128.1,GALNT12
AC007128.1,ZFAS1
AC007128.1,SSH1
AC007128.1,MTHFD1
AC007128.1,ZDHHC9
AC007128.1,PRDX1
AC007128.1,SPTAN1
AC007128.1,HSP90AA1
AC007128.1,PTGFRN
AC007128.1,NIT1
AC007128.1,GCAT
AC007128.1,SAT1
AC007128.1,D2HGDH
AC007128.1,PACS1
AC007128.1,E2F8
AC007128.1,CCN2
AC007128.1,PEAK1
AC007128.1,MYL12A
AC007128.1,PROSER2
AC007128.1,RAD51
AC007128.1,SKI
AC007128.1,TUBB4B
AC007128.1,SYPL2
AC007128.1,DUSP1
AC007128.1,PAK1
AC007128.1,ENTR1
AC007128.1,LDHB
AC007128.1,DNAJC6
AC007128.1,MIR205HG
AC007128.1,MCM2
AC007128.1,PLXNA1
AC007128.1,UBE2H
AC007128.1,ARHGEF2
AC007128.1,TARS1
AC007128.1,PDIA4
AC007128.1,DUSP8
AC007128.1,PEX6
AC007128.1,PGK1
AC007128.1,LINC02348
AC007128.1,IRX6
AC007128.1,PFN4
AC007128.1,ELOVL2
AC007128.1,LURAP1L
AC007128.1,NATD1
AC007128.1,FGFBP1
AC007128.1,CSNK2A1
AC007128.1,PACC1
AC007128.1,TSR1
AC007128.1,ALDH1A3
AC007128.1,CCT6A
AC007128.1,IFRD1
AC007128.1,SESN2
AC007128.1,SP110
AC007128.1,DKK3
AC007128.1,TMC4
AC007128.1,PIGS
AC007128.1,EGR1
AC007128.1,TRIM25
AC007128.1,NOXA1
AC007128.1,PCOLCE2
AC007128.1,STC2
AC007128.1,CLSPN
AC007128.1,FAM83D
AC007128.1,PCNA
AC007128.1,ADGRA2
AC007128.1,MPZL3
AC007128.1,NBPF1
AC007128.1,SIK2
AC007128.1,PHLDA1
AC007128.1,KDM4A
AC007128.1,ASNSP1
AC007128.1,CCT3
AC007128.1,PCSK5
AC007128.1,PPIL2
AC007128.1,TMEM40
AC007128.1,GULP1
AC007128.1,LOC107984660
AC007128.1,FOS
AC007128.1,BNC1
AC007128.1,PSAT1
AC007128.1,SLC39A11
AC007128.1,COA6-AS1
AC007128.1,ADRB2
AC007128.1,TERF2IP
AC007128.1,TRIP13
AC007128.1,BCAR3
AC007128.1,ADCY6-DT
AC007128.1,LAMC2
AC007128.1,TRMT12
AC007128.1,RPA1
AC007128.1,FAM228A
AC007128.1,BHLHE40
AC007128.1,ATP2C2
AC007128.1,NQO1
AC007128.1,HMGB3
AC007128.1,MCM6
AC007128.1,TMED2
AC007128.1,TMEM71
AC007128.1,LOC105369576
AC007128.1,DNAH1
AC007128.1,SPC25
AC007128.1,ESCO2
AC007128.1,SYK
AC007128.1,LNCAROD
AC007128.1,GINS2
AC007128.1,VDAC3
AC007128.1,TMED8
AC007128.1,PJA2
AC007128.1,PLK1
AC007128.1,IL1A
AC007128.1,SORL1
AC007128.1,SF1
AC007128.1,NCAPD2
AC007128.1,F3
AC007128.1,TRIB3
AC007128.1,MIR718
AC007128.1,RN7SL176P
AC007128.1,MIR197
AC007128.1,FLG2
AC007128.1,MT1B
AC007128.1,GS1-124K5.11
AC007128.1,RHPN2
AC007128.1,TYMS
AC007128.1,ANKRD10
AC007128.1,AP2M1
AC007128.1,SRPRA
AC007128.1,HS6ST2
AC007128.1,H2BC12
AC007128.1,BACE1
AC007128.1,PLEKHG4B
AC007128.1,HCAR2
AC007128.1,DPYSL2
AC007128.1,RPL22L1
AC007128.1,URB1
AC007128.1,DHX9
AC007128.1,WNT2B
AC007128.1,ARRDC4
AC007128.1,B4GALT5
AC007128.1,CCDC71
AC007128.1,SRXN1
AC007128.1,FRK
AC007128.1,PHF13
AC007128.1,DCAF12
AC007128.1,CCND2
AC007128.1,IGF2BP2
AC007128.1,OTUD3
AC007128.1,SLC7A1
AC007128.1,SLC7A11
AC007128.1,ALPP
AC007128.1,NARF
AC007128.1,DDX11
AC007128.1,MTMR2
AC007128.1,COPZ2
AC007128.1,NT5C
AC007128.1,DUS2
AC007128.1,GRAMD1A
AC007128.1,HIPK2
AC007128.1,KLC1
AC007128.1,PCLAF
AC007128.1,HNRNPLL
AC007128.1,FITM2
AC007128.1,B3GALT6
AC007128.1,MCM4
AC007128.1,SERP1
AC007128.1,ALG14
AC007128.1,CCNG2
AC007128.1,ACTR1B
AC007128.1,STARD3NL
AC007128.1,LOXL4
AC007128.1,PSAP
AC007128.1,SLC25A23
AC007128.1,PRDX4
AC007128.1,UBE2Q1
AC007128.1,NUP188
AC007128.1,CELF5
AC007128.1,ICMT
AC007128.1,NABP1
AC007128.1,SRGAP3
AC007128.1,SLC7A5
AC007128.1,SORCS2
AC007128.1,KDM7A-DT
AC007128.1,HCFC2
AC007128.1,PORCN
AC007128.1,WDR62
AC007128.1,H6PD
AC007128.1,BCAS4
AC007128.1,MCM10
AC007128.1,POLR3D
AC007128.1,ADSS2
AC007128.1,EGFR
AC007128.1,H2BC11
AC007128.1,NEURL1
AC007128.1,LINC01492
AC007128.1,NKD1
AC007128.1,MIR22HG
AC007128.1,RIPK1
AC007128.1,RIOK1
AC007128.1,SYVN1
AC007128.1,CHMP1B
AC007128.1,RASA4B
AC007128.1,H2AZ2
AC007128.1,PSMD1
AC007128.1,PMF1
AC007128.1,XPC
AC007128.1,NCAPD3
AC007128.1,PICSAR
AC007128.1,EXD2
AC007128.1,CIT
AC007128.1,ATL3
AC007128.1,HLCS
AC007128.1,TFRC
AC007128.1,TGFB2
AC007128.1,XRCC6
AC007128.1,CDKN1A
AC007128.1,KIF20A
AC007128.1,ACOT8
AC007128.1,MYH10
AC007128.1,MTURN
AC007128.1,LSM3
AC007128.1,MYH15
AC007128.1,FZD5
AC007128.1,ZNF391
AC007128.1,HMOX1
AC007128.1,UBE2L6
AC007128.1,TLCD2
AC007128.1,HSPA9
AC007128.1,HBEGF
AC007128.1,CD9
AC007128.1,PHLPP2
AC007128.1,SNORD41
AC007128.1,GATAD1
AC007128.1,SYNJ2-IT1
AC007128.1,SPATA17
AC007128.1,RECQL
AC007128.1,SEL1L
AC007128.1,ZNF335
AC007128.1,CLCNKB
AC007128.1,VAV1
AC007128.1,RAB32
AC007128.1,PASK
AC007128.1,AMMECR1L
AC007128.1,TM9SF4
AC007128.1,FTL
AC007128.1,CEBPB
AC007128.1,ST6GALNAC2
AC007128.1,PHYKPL
AC007128.1,CCNA2
AC007128.1,EPCAM
AC007128.1,ACLY
AC007128.1,LRRC15
AC007128.1,AREL1
AC007128.1,RSL1D1
AC007128.1,MIRLET7I
AC007128.1,CYP27C1
AC007128.1,LINC01123
AC007128.1,H2BC4
AC007128.1,MAD2L1
AC007128.1,MARS1
AC007128.1,DGLUCY
AC007128.1,LOC652276
AC007128.1,SYNPO
AC007128.1,ATG101
AC007128.1,DDX24
AC007128.1,MEGF9
AC007128.1,ZBTB47
AC007128.1,SLC13A3
AC007128.1,KLF4
AC007128.1,ACSS2
AC007128.1,RAB11FIP1
AC007128.1,CYTH3
AC007128.1,PDIA6
AC007128.1,RPL31P58
AC007128.1,SBDSP1
AC007128.1,FANCM
AC007128.1,ARPC5
AC007128.1,SWAP70
AC007128.1,ALG12
AC007128.1,MMP13
AC007128.1,MEGF6
AC007128.1,THBS3
AC007128.1,PIR
AC007128.1,SNHG8
AC007128.1,KLHL12
AC007128.1,SYBU
AC007128.1,ZNF185
AC007128.1,NDUFAB1
AC007128.1,DDX46
AC007128.1,SDC4
AC007128.1,ZNF398
AC007128.1,CCN5
AC007128.1,MN1
AC007128.1,ADAM17
AC007128.1,RFC5
AC007128.1,MCFD2
AC007128.1,RBFOX2
AC007128.1,SNHG29
AC007128.1,PYCR1
AC007128.1,COPG1
AC007128.1,PCCB
AC007128.1,CUTALP
AC007128.1,ADPRM
AC007128.1,HARBI1
AC007128.1,CYP4F11
AC007128.1,INSIG1
AC007128.1,BTG1
AC007128.1,TSG101
AC007128.1,TNS3
AC007128.1,PERP
AC007128.1,MSTO1
AC007128.1,LRP4
AC007128.1,HSPD1
AC007128.1,RHOB
AC007128.1,GEMIN8
AC007128.1,CDC45
AC007128.1,STAG3L4
AC007128.1,RNF11
AC007128.1,CEMIP2
AC007128.1,TENT4A
AC007128.1,THSD4
AC007128.1,GALNT7
AC007128.1,ARHGEF28
AC007128.1,CEBPG
AC007128.1,SOX9
AC007128.1,STXBP1
AC007128.1,COPS9
AC007128.1,BRI3BP
AC007128.1,C6orf120
AC007128.1,MARCHF5
AC007128.1,SNAP47
AC007128.1,SRRD
AC007128.1,HOMER2
AC007128.1,UFD1
AC007128.1,POLE
AC007128.1,TOMM34
AC007128.1,FBXO32
AC007128.1,ACOT7
AC007128.1,MROH7
AC007128.1,FAM228B
AC007128.1,HERC2P3
AC007128.1,HBP1
AC007128.1,PRKAG1
AC007128.1,USP32
AC007128.1,SEPHS2
AC007128.1,API5
AC007128.1,SLIT2
AC007128.1,SCARB1
AC007128.1,FUT1
AC007128.1,PFKP
AC007128.1,LINC00052
AC007128.1,SPOCK1
AC007128.1,NKAPD1
AC007128.1,CABIN1
AC007128.1,BPTFP1
AC007128.1,TPGS2
AC007128.1,LOC100420114
AC007128.1,STON2
AC007128.1,UBE2C
AC007128.1,AARS1
AC007128.1,KCTD3
AC007128.1,ZNF670-ZNF695
AC007128.1,SYNGR3
AC007128.1,SNHG1
AC007128.1,TKFC
AC007128.1,DALRD3
AC007128.1,TTC17
AC007128.1,NPR1
AC007128.1,GLA
AC007128.1,TNFAIP3
AC007128.1,CFAP251
AC007128.1,SOWAHC
AC007128.1,ADGRG1
AC007128.1,NCL
AC007128.1,LTBP2
AC007128.1,PPP5C
AC007128.1,C1orf167
AC007128.1,MIR4667
AC007128.1,BMP2
AC007128.1,ASF1B
AC007128.1,RSAD2
AC007128.1,RAB24
AC007128.1,MRPS6
AC007128.1,WASH7P
AC007128.1,MAGI3
AC007128.1,TFCP2L1
AC007128.1,FTSJ1
AC007128.1,SYNJ2BP
AC007128.1,IGFL1
AC007128.1,ERCC6L
AC007128.1,C1orf52
AC007128.1,RNF168
AC007128.1,LMNB1
AC007128.1,WHAMM
AC007128.1,RRAGC
AC007128.1,AKNA
AC007128.1,OLFML2A
AC007128.1,UBE2J1
AC007128.1,LTBP4
AC007128.1,RFWD3
AC007128.1,RASGRF1
AC007128.1,LOC101930085
AC007128.1,ZNF202
AC007128.1,ZNF367
AC007128.1,CDK9
AC007128.1,KIAA1210
AC007128.1,RAB22A
AC007128.1,PPP2R5B
AC007128.1,MIR22
AC007128.1,IL20RB
AC007128.1,EHF
AC007128.1,TMEM179B
AC007128.1,FARP2
AC007128.1,CTH
AC007128.1,PPHLN1
AC007128.1,DHFR
AC007128.1,MED8
AC007128.1,LINC01433
AC007128.1,THYN1
AC007128.1,IQGAP3
AC007128.1,CHAC1
AC007128.1,NBPF9
AC007128.1,MYBL2
AC007128.1,TIMP2
AC007128.1,WDR5B
AC007128.1,EIF3D
AC007128.1,ADM2
AC007128.1,CAT
AC007128.1,REEP4
AC007128.1,PLK2
AC007128.1,MZT1
AC007128.1,SPRED3
AC007128.1,RPL36A
AC007128.1,MIR205
AC007128.1,BMP7
AC007128.1,SLC9A8
AC007128.1,SPAG5
AC007128.1,MTMR14
AC007128.1,NUS1
AC007128.1,UFC1
AC007128.1,TCP1
AC007128.1,CALY
AC007128.1,PRMT6
AC007128.1,KRT6A
AC007128.1,WWC3
AC007128.1,RMND5B
AC007128.1,PAN2
AC007128.1,PSMA5
AC007128.1,KRT18
AC007128.1,NFAM1
AC007128.1,FADS3
AC007128.1,GTF2E1
AC007128.1,YARS1
AC007128.1,ABLIM3
AC007128.1,GMNN
AC007128.1,STMN3
AC007128.1,IQCG
AC007128.1,MFGE8
AC007128.1,CANX
AC007128.1,IGFBP5
AC007128.1,SEL1L3
AC007128.1,JDP2
AC007128.1,ORC1
AC007128.1,IFT122
AC007128.1,CCNB2
AC007128.1,RAB2A
AC007128.1,CLPTM1L
AC007128.1,GFPT2
AC007128.1,METTL27
AC007128.1,TFAP2A
AC007128.1,CCDC85B
AC007128.1,WDHD1
AC007128.1,ABHD2
AC007128.1,DPAGT1
AC007128.1,LMF1
AC007128.1,ELOVL5
AC007128.1,CD99L2
AC007128.1,LOC101929054
AC007128.1,ECHS1
AC007128.1,GINS4
AC007128.1,ABCC3
AC007128.1,KDM7A
AC007128.1,FANCA
AC007128.1,FNIP2
AC007128.1,WNT5A
AC007128.1,TRAV27
AC007128.1,CELSR3
AC007128.1,SIDT2
AC007128.1,PRSS16
AC007128.1,CTC1
AC007128.1,GPR108
AC007128.1,YDJC
AC007128.1,FNBP1
AC007128.1,PCYOX1
AC007128.1,KIF4A
AC007128.1,EHD2
AC007128.1,DROSHA
AC007128.1,DSG3
AC007128.1,NUCKS1
AC007128.1,SLC39A14
AC007128.1,KIAA0100
AC007128.1,PLPP3
AC007128.1,WASH2P
AC007128.1,SHKBP1
AC007128.1,SPTLC2
AC007128.1,RBCK1
AC007128.1,MDH2
AC007128.1,PABPC1L
AC007128.1,IGSF22
AC007128.1,TRO
AC007128.1,NRP2
AC007128.1,PRKCD
AC007128.1,LINC01564
AC007128.1,C1orf198
AC007128.1,FOSB
AC007128.1,SERINC5
AC007128.1,CDC42BPB
AC007128.1,UNC13A
AC007128.1,TBC1D4
AC007128.1,IFIT3
AC007128.1,ATF5
AC007128.1,MAPRE2
AC007128.1,TAF5
AC007128.1,DUSP5
AC007128.1,DNAJC13
AC007128.1,LETM1
AC007128.1,KIF2C
AC007128.1,KRT14
AC007128.1,FBXW2
AC007128.1,KCTD18
AC007128.1,LETMD1
AC007128.1,BECN1
AC007128.1,GOT1
AC007128.1,NCAPG2
AC007128.1,FGF21
AC007128.1,LRRC23
AC007128.1,SMN1
AC007128.1,PXDC1
AC007128.1,PTMA
AC007128.1,EXD3
AC007128.1,RAF1
AC007128.1,ADGRE1
AC007128.1,KIF24
AC007128.1,MED10
AC007128.1,NLRP1
AC007128.1,DOCK6
AC007128.1,SEC63
AC007128.1,PNRC2
AC007128.1,FRRS1
AC007128.1,WDR76
AC007128.1,PACS2
AC007128.1,KRT81
AC007128.1,PUM3
AC007128.1,DENND3
AC007128.1,FAM131C
AC007128.1,ASPHD2
AC007128.1,LSMEM1
AC007128.1,ADARB2
AC007128.1,MXRA5
AC007128.1,RNF187
AC007128.1,KMO
AC007128.1,ADAMTSL5
AC007128.1,CTSV
AC007128.1,TAF1
AC007128.1,MCM3
AC007128.1,HIVEP2
AC007128.1,LOC100133091
AC007128.1,TNS4
AC007128.1,GARS1
AC007128.1,POM121C
AC007128.1,TM4SF1
AC007128.1,SORT1
AC007128.1,PTPRS
AC007128.1,ZNF623
AC007128.1,UTP14A
